Hour,Device Category,Day of the month,City,Month of the year,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue
11,mobile,12,Albuquerque,10,2,100.00%,1.00,00:00:00,0,$0.00
11,mobile,12,Syracuse,10,2,0.00%,2.50,00:02:04,0,$0.00
11,mobile,12,Clarksville,10,2,0.00%,3.50,00:12:59,0,$0.00
11,mobile,12,Nashville,10,2,50.00%,3.00,00:01:40,0,$0.00
11,mobile,12,Gahanna,10,2,50.00%,1.50,00:00:05,0,$0.00
11,mobile,13,Nuremberg,10,2,100.00%,1.00,00:00:00,0,$0.00
11,mobile,13,Sacramento,10,2,50.00%,6.50,00:03:36,0,$0.00
11,mobile,13,San Francisco,10,2,50.00%,2.00,00:02:57,0,$0.00
11,mobile,13,Denver,10,2,0.00%,4.00,00:01:03,0,$0.00
11,mobile,13,New Haven,10,2,100.00%,1.00,00:00:00,0,$0.00
11,mobile,13,Miami,10,2,100.00%,1.00,00:00:00,0,$0.00
11,mobile,13,Orlando,10,2,100.00%,1.00,00:00:00,0,$0.00
11,mobile,13,Detroit,10,2,50.00%,1.50,00:00:17,0,$0.00
11,mobile,13,Grand Rapids,10,2,50.00%,4.00,00:00:52,0,$0.00
11,mobile,13,Minneapolis,10,2,50.00%,1.50,00:01:56,0,$0.00
11,mobile,13,Jackson,10,2,0.00%,3.00,00:11:20,0,$0.00
11,mobile,13,Indian Trail,10,2,50.00%,1.50,00:00:35,0,$0.00
11,mobile,13,Omaha,10,2,0.00%,3.50,00:01:01,0,$0.00
11,mobile,13,Philadelphia,10,2,50.00%,6.00,00:01:27,0,$0.00
11,mobile,13,Salt Lake City,10,2,50.00%,3.00,00:00:44,0,$0.00
11,mobile,14,Brampton,10,2,0.00%,2.00,00:01:44,0,$0.00
11,mobile,14,Phoenix,10,2,50.00%,4.00,00:01:52,0,$0.00
11,mobile,14,Simi Valley,10,2,50.00%,2.00,00:03:23,0,$0.00
11,mobile,14,Miami,10,2,50.00%,1.50,00:00:19,0,$0.00
11,mobile,14,Boston,10,2,0.00%,2.50,00:00:28,0,$0.00
11,mobile,14,Ann Arbor,10,2,50.00%,2.00,00:01:17,0,$0.00
11,mobile,14,Greenville,10,2,100.00%,1.00,00:00:00,0,$0.00
11,mobile,14,Albuquerque,10,2,0.00%,2.50,00:02:16,0,$0.00
11,mobile,14,Chalfont,10,2,0.00%,8.00,00:05:43,0,$0.00
11,mobile,14,Lancaster,10,2,0.00%,3.50,00:00:39,0,$0.00
11,mobile,14,Nashville,10,2,50.00%,1.50,00:00:13,0,$0.00
11,mobile,14,Seattle,10,2,100.00%,1.00,00:00:00,0,$0.00
11,mobile,14,Davie,10,2,0.00%,2.50,00:00:46,0,$0.00
11,mobile,15,Preston,10,2,100.00%,1.00,00:00:00,0,$0.00
11,mobile,15,San Diego,10,2,50.00%,1.00,00:02:58,0,$0.00
11,mobile,15,Lafayette,10,2,0.00%,11.50,00:09:23,1,$19.98
11,mobile,15,College Park,10,2,50.00%,10.00,00:02:49,0,$0.00
11,mobile,15,Ann Arbor,10,2,0.00%,2.00,00:01:46,0,$0.00
11,mobile,15,Omaha,10,2,50.00%,2.00,00:00:25,0,$0.00
11,mobile,15,Cincinnati,10,2,0.00%,5.00,00:01:44,0,$0.00
11,mobile,15,Oklahoma City,10,2,50.00%,7.50,00:07:43,0,$0.00
11,mobile,15,Lancaster,10,2,0.00%,4.50,00:03:40,0,$0.00
11,mobile,15,Philadelphia,10,2,50.00%,3.00,00:00:58,0,$0.00
11,mobile,15,Providence,10,2,50.00%,2.00,00:00:36,0,$0.00
11,mobile,15,Franklin,10,2,50.00%,1.50,00:02:17,0,$0.00
11,mobile,15,Salt Lake City,10,2,0.00%,6.00,00:05:13,0,$0.00
11,mobile,15,Ken Caryl,10,2,100.00%,1.00,00:00:00,0,$0.00
11,mobile,15,Rochester Hills,10,2,50.00%,3.00,00:00:49,0,$0.00
11,mobile,16,(not set),10,2,50.00%,2.00,00:01:41,0,$0.00
11,mobile,16,Birmingham,10,2,0.00%,4.50,00:06:11,0,$0.00
11,mobile,16,Phoenix,10,2,50.00%,14.00,00:16:20,0,$0.00
11,mobile,16,San Francisco,10,2,100.00%,1.00,00:00:00,0,$0.00
11,mobile,16,Santa Cruz,10,2,50.00%,2.00,00:00:19,0,$0.00
11,mobile,16,Miami,10,2,50.00%,1.50,00:00:07,0,$0.00
11,mobile,16,Springfield,10,2,50.00%,1.50,00:00:12,0,$0.00
