Hour,Device Category,Day of the month,City,Month of the year,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue
20,mobile,04,Orlando,10,3,66.67%,2.67,00:00:52,0,$0.00
20,mobile,04,Indianapolis,10,3,66.67%,2.33,00:00:37,0,$0.00
20,mobile,04,Charlotte,10,3,33.33%,10.33,00:01:29,0,$0.00
20,mobile,04,Bergenfield,10,3,0.00%,3.00,00:01:36,0,$0.00
20,mobile,04,Celina,10,3,66.67%,7.00,00:05:06,1,$23.38
20,mobile,04,San Antonio,10,3,66.67%,2.33,00:06:28,0,$0.00
20,mobile,04,Madison,10,3,0.00%,3.33,00:03:16,0,$0.00
20,mobile,05,San Francisco,10,3,33.33%,3.33,00:01:42,0,$0.00
20,mobile,05,San Jose,10,3,33.33%,5.00,00:01:15,0,$0.00
20,mobile,05,Denver,10,3,0.00%,5.67,00:01:41,0,$0.00
20,mobile,05,Minneapolis,10,3,66.67%,3.67,00:02:24,0,$0.00
20,mobile,05,Omaha,10,3,33.33%,5.33,00:03:55,0,$0.00
20,mobile,05,Salt Lake City,10,3,0.00%,12.67,00:06:40,0,$0.00
20,mobile,05,Blacksburg,10,3,66.67%,2.00,00:01:01,0,$0.00
20,mobile,06,San Francisco,10,3,33.33%,2.67,00:00:31,0,$0.00
20,mobile,06,San Jose,10,3,33.33%,2.67,00:00:28,0,$0.00
20,mobile,06,Washington,10,3,33.33%,11.33,00:00:22,0,$0.00
20,mobile,06,Jacksonville,10,3,0.00%,6.33,00:10:02,0,$0.00
20,mobile,06,Orlando,10,3,33.33%,4.00,00:06:27,0,$0.00
20,mobile,06,Philadelphia,10,3,33.33%,2.00,00:00:28,0,$0.00
20,mobile,07,London,10,3,66.67%,1.33,00:00:11,0,$0.00
20,mobile,07,Phoenix,10,3,66.67%,8.00,00:08:57,1,$57.08
20,mobile,07,Miami,10,3,0.00%,2.33,00:03:40,0,$0.00
20,mobile,07,Atlanta,10,3,0.00%,8.33,00:03:24,0,$0.00
20,mobile,07,Indianapolis,10,3,0.00%,11.33,00:08:11,0,$0.00
20,mobile,07,Boston,10,3,66.67%,1.67,00:00:25,0,$0.00
20,mobile,07,Detroit,10,3,33.33%,16.67,00:12:14,1,$63.98
20,mobile,07,Philadelphia,10,3,33.33%,3.33,00:03:14,0,$0.00
20,mobile,07,Seattle,10,3,0.00%,8.33,00:05:17,0,$0.00
20,mobile,08,San Francisco,10,3,66.67%,1.67,00:00:15,0,$0.00
20,mobile,08,Stockton,10,3,33.33%,5.00,00:02:22,0,$0.00
20,mobile,08,Orlando,10,3,66.67%,5.00,00:01:56,0,$0.00
20,mobile,08,Austin,10,3,33.33%,16.00,00:07:27,0,$0.00
20,mobile,09,Phoenix,10,3,66.67%,3.33,00:02:38,0,$0.00
20,mobile,09,Orlando,10,3,100.00%,1.00,00:00:00,0,$0.00
20,mobile,09,Atlanta,10,3,0.00%,8.67,00:03:18,0,$0.00
20,mobile,09,West Milford,10,3,33.33%,5.00,00:09:46,0,$0.00
20,mobile,09,Houston,10,3,66.67%,1.67,00:00:04,0,$0.00
20,mobile,09,San Antonio,10,3,66.67%,2.33,00:00:39,0,$0.00
20,mobile,10,Detroit,10,3,66.67%,2.00,00:01:26,0,$0.00
20,mobile,10,Charlotte,10,3,66.67%,11.00,00:20:11,0,$0.00
20,mobile,10,Secaucus,10,3,100.00%,1.00,00:00:00,0,$0.00
20,mobile,10,Memphis,10,3,66.67%,1.67,00:00:47,0,$0.00
20,mobile,11,Orlando,10,3,0.00%,13.33,00:07:39,0,$0.00
20,mobile,11,Boston,10,3,66.67%,1.67,00:00:51,0,$0.00
20,mobile,11,Detroit,10,3,33.33%,11.00,00:06:45,0,$0.00
20,mobile,11,Portland,10,3,0.00%,4.00,00:02:01,0,$0.00
20,mobile,11,San Antonio,10,3,0.00%,9.33,00:06:50,0,$0.00
20,mobile,12,Phoenix,10,3,66.67%,1.67,00:00:57,0,$0.00
20,mobile,12,San Jose,10,3,100.00%,1.00,00:00:00,0,$0.00
20,mobile,12,Minneapolis,10,3,100.00%,1.00,00:00:00,0,$0.00
20,mobile,12,Memphis,10,3,33.33%,3.67,00:01:26,0,$0.00
20,mobile,12,Seattle,10,3,33.33%,2.00,00:01:16,0,$0.00
20,mobile,13,Indianapolis,10,3,66.67%,6.00,00:02:12,0,$0.00
20,mobile,13,Albuquerque,10,3,0.00%,4.33,00:01:39,0,$0.00
20,mobile,13,Memphis,10,3,33.33%,2.67,00:00:52,0,$0.00
20,mobile,13,Austin,10,3,0.00%,4.00,00:01:11,0,$0.00
20,mobile,13,Salt Lake City,10,3,0.00%,3.00,00:01:41,0,$0.00
20,mobile,14,Melbourne,10,3,100.00%,1.00,00:00:00,0,$0.00
20,mobile,14,Fresno,10,3,33.33%,1.67,00:01:00,0,$0.00
20,mobile,14,San Diego,10,3,66.67%,2.00,00:00:10,0,$0.00
20,mobile,14,Boulder,10,3,66.67%,1.33,00:00:43,0,$0.00
20,mobile,14,New Orleans,10,3,0.00%,4.00,00:03:06,0,$0.00
